First-come first-served,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
101,69,7,57,57,125,0,0,69
102,62,5,126,126,187,0,0,62
103,54,7,160,188,241,28,28,82
104,76,4,166,242,317,76,76,152
105,68,4,222,318,385,96,96,164
106,91,0,234,386,476,152,152,243
107,19,7,254,477,495,223,223,242
108,65,9,277,496,560,219,219,284
109,79,6,343,561,639,218,218,297
110,44,5,380,640,683,260,260,304
111,60,7,429,684,743,255,255,315
112,72,4,476,744,815,268,268,340
113,69,8,508,816,884,308,308,377
114,90,3,527,885,974,358,358,448
115,62,5,589,975,1036,386,386,448
116,49,0,602,1037,1085,435,435,484
117,44,4,615,1086,1129,471,471,515
118,44,7,642,1130,1173,488,488,532
119,36,1,671,1174,1209,503,503,539
120,64,4,723,1210,1273,487,487,551
121,82,7,775,1274,1355,499,499,581
122,68,6,827,1356,1423,529,529,597
123,69,2,866,1424,1492,558,558,627
124,72,6,918,1493,1564,575,575,647
125,94,9,929,1565,1658,636,636,730
126,64,1,940,1659,1722,719,719,783
127,34,2,985,1723,1756,738,738,772
128,39,4,1011,1757,1795,746,746,785
129,45,5,1031,1796,1840,765,765,810
130,49,8,1050,1841,1889,791,791,840
131,61,3,1100,1890,1950,790,790,851
132,61,0,1143,1951,2011,808,808,869
133,40,9,1149,2012,2051,863,863,903
134,41,1,1218,2052,2092,834,834,875
135,72,0,1248,2093,2164,845,845,917
136,45,0,1294,2165,2209,871,871,916
137,59,9,1297,2210,2268,913,913,972
138,42,8,1308,2269,2310,961,961,1003
139,64,2,1356,2311,2374,955,955,1019
140,90,8,1359,2375,2464,1016,1016,1106
141,50,1,1405,2465,2514,1060,1060,1110
142,76,5,1462,2515,2590,1053,1053,1129
143,76,8,1529,2591,2666,1062,1062,1138
144,68,4,1552,2667,2734,1115,1115,1183
145,70,2,1552,2735,2804,1183,1183,1253
146,68,3,1617,2805,2872,1188,1188,1256
147,48,4,1672,2873,2920,1201,1201,1249
148,72,6,1700,2921,2992,1221,1221,1293
149,38,7,1768,2993,3030,1225,1225,1263
150,55,2,1791,3031,3085,1240,1240,1295
,,,,,,,,
,,,,,Min,0,0,62
,,,,,Mean,643.82,643.82,704.40
,,,,,Max,1240,1240,1295
,,,,,StdDev,374.06,374.06,372.57
